Place,Latitude,Longitude
Chennai,13.0827,80.2707
Delhi,28.7041,77.1025
Mumbai,19.0760,72.8777
Kolkata,22.5726,88.3639
New York,40.7128,-74.0060
San Francisco,37.7749,-122.4194
Los Angeles,34.0522,-118.2437
Tokyo,35.6895,139.6917
Sydney,-33.8688,151.2093
Cape Town,-33.9249,18.4241
London,51.5074,-0.1278
Paris,48.8566,2.3522
Berlin,52.5200,13.4050
Singapore,1.3521,103.8198
Dubai,25.276987,55.296249
Moscow,55.7558,37.6173
Toronto,43.651070,-79.347015
Rio de Janeiro,-22.9068,-43.1729
Beijing,39.9042,116.4074
Bangkok,13.7563,100.5018
Seoul,37.5665,126.9780
Buenos Aires,-34.6037,-58.3816
Johannesburg,-26.2041,28.0473
Mexico City,19.4326,-99.1332
Istanbul,41.0082,28.9784
Cairo,30.0444,31.2357
Karachi,24.8607,67.0011
Lagos,6.5244,3.3792
Nairobi,-1.286389,36.817223
Hanoi,21.0285,105.8542
Jakarta,-6.2088,106.8456
Kuala Lumpur,3.1390,101.6869
Tehran,35.6892,51.3890
Riyadh,24.7136,46.6753
Madrid,40.4168,-3.7038
Rome,41.9028,12.4964
Amsterdam,52.3676,4.9041
Zurich,47.3769,8.5417
Stockholm,59.3293,18.0686
Oslo,59.9139,10.7522
Vienna,48.2082,16.3738
Helsinki,60.1695,24.9354
Copenhagen,55.6761,12.5683
Warsaw,52.2297,21.0122
Prague,50.0755,14.4378
Budapest,47.4979,19.0402
Athens,37.9838,23.7275
Brussels,50.8503,4.3517
Dublin,53.3498,-6.2603
Edinburgh,55.9533,-3.1883
Glasgow,55.8642,-4.2518
Melbourne,-37.8136,144.9631
Brisbane,-27.4698,153.0251
Perth,-31.9505,115.8605
Auckland,-36.8485,174.7633
Wellington,-41.2865,174.7762
Bengaluru,12.9716,77.5946